(nanoGPT) C:\Users\kanoj\OneDrive\Desktop\Assignments\Deliverable2\nanoGPT>python train.py config/train_pokemon.py
Overriding config with config/train_pokemon.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-[pokemon]'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'pokemon'
wandb_run_name = 'mini-gpt'

dataset = 'pokemon'
gradient_accumulation_steps = 1
batch_size = 12
block_size = 64 # context of up to 64 previous characters

# baby GPT model :)
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.0

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 4000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model

tokens per iteration will be: 768
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 7.23M
C:\Users\kanoj\OneDrive\Desktop\Assignments\Deliverable2\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 7,233,536 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
iter 3890: loss 0.1503, time 141.10ms, mfu 0.07%
iter 3900: loss 0.1488, time 140.30ms, mfu 0.07%
iter 3910: loss 0.1431, time 154.98ms, mfu 0.07%
iter 3920: loss 0.1397, time 138.09ms, mfu 0.07%
iter 3930: loss 0.1606, time 154.67ms, mfu 0.07%
iter 3940: loss 0.1519, time 153.50ms, mfu 0.07%
iter 3950: loss 0.1521, time 139.45ms, mfu 0.07%
iter 3960: loss 0.1665, time 137.45ms, mfu 0.07%
iter 3970: loss 0.1466, time 138.96ms, mfu 0.07%
iter 3980: loss 0.1824, time 152.68ms, mfu 0.07%
iter 3990: loss 0.1291, time 155.89ms, mfu 0.07%
step 4000: train loss 0.1647, val loss 8.3836
iter 4000: loss 0.1348, time 2527.28ms, mfu 0.07%
iter 4010: loss 0.1580, time 141.18ms, mfu 0.07%
iter 4020: loss 0.1647, time 139.69ms, mfu 0.07%
iter 4030: loss 0.1758, time 140.44ms, mfu 0.07%
iter 4040: loss 0.1716, time 139.06ms, mfu 0.07%
iter 4050: loss 0.1199, time 152.24ms, mfu 0.07%
iter 4060: loss 0.1360, time 139.19ms, mfu 0.07%
iter 4070: loss 0.1933, time 137.66ms, mfu 0.07%
iter 4080: loss 0.1632, time 137.71ms, mfu 0.07%
iter 4090: loss 0.1853, time 139.40ms, mfu 0.07%
iter 4100: loss 0.1395, time 139.08ms, mfu 0.07%
iter 4110: loss 0.1578, time 152.46ms, mfu 0.07%
iter 4120: loss 0.1316, time 153.38ms, mfu 0.07%
iter 4130: loss 0.1736, time 152.77ms, mfu 0.07%
iter 4140: loss 0.1566, time 154.44ms, mfu 0.07%
iter 4150: loss 0.1638, time 155.57ms, mfu 0.07%
iter 4160: loss 0.1723, time 152.30ms, mfu 0.07%
iter 4170: loss 0.1601, time 140.61ms, mfu 0.07%
iter 4180: loss 0.1622, time 139.87ms, mfu 0.07%
iter 4190: loss 0.1685, time 138.44ms, mfu 0.07%
iter 4200: loss 0.1722, time 154.66ms, mfu 0.07%
iter 4210: loss 0.1510, time 155.46ms, mfu 0.07%
iter 4220: loss 0.1414, time 155.93ms, mfu 0.07%
iter 4230: loss 0.1400, time 138.45ms, mfu 0.07%
iter 4240: loss 0.1537, time 139.22ms, mfu 0.07%
step 4250: train loss 0.1551, val loss 8.3923
iter 4250: loss 0.1589, time 2512.84ms, mfu 0.07%
iter 4260: loss 0.1453, time 139.14ms, mfu 0.07%
iter 4270: loss 0.1667, time 139.91ms, mfu 0.07%
iter 4280: loss 0.1351, time 154.55ms, mfu 0.07%
iter 4290: loss 0.1698, time 155.78ms, mfu 0.07%
iter 4300: loss 0.1446, time 141.90ms, mfu 0.07%
iter 4310: loss 0.1705, time 142.68ms, mfu 0.07%
iter 4320: loss 0.1492, time 154.53ms, mfu 0.07%
iter 4330: loss 0.1441, time 141.35ms, mfu 0.07%
iter 4340: loss 0.1477, time 140.15ms, mfu 0.07%
iter 4350: loss 0.1908, time 142.88ms, mfu 0.07%
iter 4360: loss 0.1459, time 141.53ms, mfu 0.07%
iter 4370: loss 0.1504, time 141.43ms, mfu 0.07%
iter 4380: loss 0.1430, time 155.76ms, mfu 0.07%
iter 4390: loss 0.1955, time 141.56ms, mfu 0.07%
iter 4400: loss 0.1554, time 153.82ms, mfu 0.07%
iter 4410: loss 0.1985, time 154.32ms, mfu 0.07%
iter 4420: loss 0.1784, time 153.94ms, mfu 0.07%
iter 4430: loss 0.1881, time 152.77ms, mfu 0.07%
iter 4440: loss 0.1232, time 154.47ms, mfu 0.07%
iter 4450: loss 0.1142, time 139.99ms, mfu 0.07%
iter 4460: loss 0.1595, time 140.66ms, mfu 0.07%
iter 4470: loss 0.1415, time 154.47ms, mfu 0.07%
iter 4480: loss 0.1437, time 150.70ms, mfu 0.07%
iter 4490: loss 0.1657, time 152.98ms, mfu 0.07%
step 4500: train loss 0.1563, val loss 8.4013
iter 4500: loss 0.1464, time 2514.29ms, mfu 0.07%
iter 4510: loss 0.1504, time 154.45ms, mfu 0.07%
iter 4520: loss 0.1808, time 153.97ms, mfu 0.07%
iter 4530: loss 0.1540, time 154.82ms, mfu 0.07%
iter 4540: loss 0.1617, time 152.56ms, mfu 0.07%
iter 4550: loss 0.1701, time 141.29ms, mfu 0.07%
iter 4560: loss 0.1774, time 139.07ms, mfu 0.07%
iter 4570: loss 0.1248, time 139.04ms, mfu 0.07%
iter 4580: loss 0.1482, time 140.73ms, mfu 0.07%
iter 4590: loss 0.1446, time 142.04ms, mfu 0.07%
iter 4600: loss 0.1719, time 139.75ms, mfu 0.07%
iter 4610: loss 0.1552, time 140.64ms, mfu 0.07%
iter 4620: loss 0.1956, time 153.47ms, mfu 0.07%
iter 4630: loss 0.1543, time 155.16ms, mfu 0.07%
iter 4640: loss 0.1734, time 153.86ms, mfu 0.07%
iter 4650: loss 0.1356, time 154.57ms, mfu 0.07%
iter 4660: loss 0.1883, time 151.82ms, mfu 0.07%
iter 4670: loss 0.1861, time 152.31ms, mfu 0.07%
iter 4680: loss 0.1457, time 139.76ms, mfu 0.07%
iter 4690: loss 0.1194, time 138.71ms, mfu 0.07%
iter 4700: loss 0.1481, time 153.74ms, mfu 0.07%
iter 4710: loss 0.1702, time 154.60ms, mfu 0.07%
iter 4720: loss 0.1611, time 139.46ms, mfu 0.07%
iter 4730: loss 0.1438, time 139.80ms, mfu 0.07%
iter 4740: loss 0.1393, time 137.37ms, mfu 0.07%
step 4750: train loss 0.1504, val loss 8.4002
iter 4750: loss 0.1353, time 2511.35ms, mfu 0.07%
iter 4760: loss 0.1731, time 141.62ms, mfu 0.07%
iter 4770: loss 0.1352, time 141.68ms, mfu 0.07%
iter 4780: loss 0.1501, time 155.17ms, mfu 0.07%
iter 4790: loss 0.1404, time 141.79ms, mfu 0.07%
iter 4800: loss 0.1405, time 152.01ms, mfu 0.07%
iter 4810: loss 0.1259, time 142.47ms, mfu 0.07%
iter 4820: loss 0.1361, time 141.25ms, mfu 0.07%
iter 4830: loss 0.2306, time 140.80ms, mfu 0.07%
iter 4840: loss 0.1730, time 141.94ms, mfu 0.07%
iter 4850: loss 0.1450, time 139.74ms, mfu 0.07%
iter 4860: loss 0.1625, time 154.75ms, mfu 0.07%
iter 4870: loss 0.1750, time 138.68ms, mfu 0.07%
iter 4880: loss 0.1504, time 142.41ms, mfu 0.07%
iter 4890: loss 0.1411, time 141.38ms, mfu 0.07%
iter 4900: loss 0.1567, time 138.98ms, mfu 0.07%
iter 4910: loss 0.1359, time 154.29ms, mfu 0.07%
iter 4920: loss 0.1910, time 140.98ms, mfu 0.07%
iter 4930: loss 0.1312, time 154.70ms, mfu 0.07%
iter 4940: loss 0.1098, time 155.99ms, mfu 0.07%
iter 4950: loss 0.1327, time 141.09ms, mfu 0.07%
iter 4960: loss 0.1305, time 151.30ms, mfu 0.07%
iter 4970: loss 0.1398, time 155.05ms, mfu 0.07%
iter 4980: loss 0.1484, time 154.92ms, mfu 0.07%
iter 4990: loss 0.1399, time 139.77ms, mfu 0.07%
step 5000: train loss 0.1450, val loss 8.4217
iter 5000: loss 0.1777, time 2521.76ms, mfu 0.07%

