Iteration 89, Loss: 2.654646635055542
Iteration 703, Loss: 2.342224359512329
Iteration 704, Loss: 2.381065845489502
Iteration 705, Loss: 2.3423171043395996
Iteration 706, Loss: 2.356801748275757
Iteration 707, Loss: 2.3406898975372314
Iteration 708, Loss: 2.3584163188934326
Iteration 709, Loss: 2.3408429622650146
step 710: train loss 2.3256, val loss 2.3234
Iteration 710, Loss: 2.352543354034424
Iteration 711, Loss: 2.3539206981658936
Iteration 712, Loss: 2.376878499984741
Iteration 713, Loss: 2.3646461963653564
Iteration 714, Loss: 2.3593783378601074
Iteration 715, Loss: 2.3900909423828125
Iteration 716, Loss: 2.3820955753326416
Iteration 717, Loss: 2.4336650371551514
Iteration 718, Loss: 2.346440553665161
Iteration 719, Loss: 2.363297700881958
step 720: train loss 2.3225, val loss 2.3228
Iteration 720, Loss: 2.3525302410125732
Iteration 721, Loss: 2.3654227256774902
Iteration 722, Loss: 2.335236072540283
Iteration 723, Loss: 2.3548266887664795
Iteration 724, Loss: 2.355433225631714
Iteration 725, Loss: 2.355708122253418
Iteration 726, Loss: 2.3282973766326904
Iteration 727, Loss: 2.336657762527466
Iteration 728, Loss: 2.3575942516326904
Iteration 729, Loss: 2.3642656803131104
step 730: train loss 2.3176, val loss 2.3154
Iteration 730, Loss: 2.3719539642333984
Iteration 731, Loss: 2.3159384727478027
Iteration 732, Loss: 2.3774125576019287
Iteration 733, Loss: 2.3486597537994385
Iteration 734, Loss: 2.32991623878479
Iteration 735, Loss: 2.354454755783081
Iteration 736, Loss: 2.353041648864746
Iteration 737, Loss: 2.3434762954711914
Iteration 738, Loss: 2.3241093158721924
Iteration 739, Loss: 2.3157787322998047
step 740: train loss 2.3095, val loss 2.3046
Iteration 740, Loss: 2.384486675262451
Iteration 741, Loss: 2.4140353202819824
Iteration 742, Loss: 2.379338502883911
Iteration 743, Loss: 2.353761672973633
Iteration 744, Loss: 2.356200695037842
Iteration 745, Loss: 2.367480754852295
Iteration 746, Loss: 2.3617868423461914
Iteration 747, Loss: 2.283242702484131
Iteration 748, Loss: 2.3205809593200684
Iteration 749, Loss: 2.36277174949646
step 750: train loss 2.3043, val loss 2.3008
Iteration 750, Loss: 2.3190953731536865
Iteration 751, Loss: 2.31184720993042
Iteration 752, Loss: 2.3704171180725098
Iteration 753, Loss: 2.3178951740264893
Iteration 754, Loss: 2.339503765106201
Iteration 755, Loss: 2.3323044776916504
Iteration 756, Loss: 2.338371515274048
Iteration 757, Loss: 2.330486297607422
Iteration 758, Loss: 2.3918259143829346
Iteration 759, Loss: 2.3415706157684326
step 760: train loss 2.2991, val loss 2.2920
Iteration 760, Loss: 2.307814121246338
Iteration 761, Loss: 2.338543653488159
Iteration 762, Loss: 2.360276937484741
Iteration 763, Loss: 2.3207027912139893
Iteration 764, Loss: 2.3479413986206055
Iteration 765, Loss: 2.316941261291504
Iteration 766, Loss: 2.3850295543670654
Iteration 767, Loss: 2.361607074737549
Iteration 768, Loss: 2.3629720211029053
Iteration 769, Loss: 2.3857874870300293
step 770: train loss 2.2938, val loss 2.2873
Iteration 770, Loss: 2.3792409896850586
Iteration 771, Loss: 2.394097089767456
Iteration 772, Loss: 2.357335329055786
Iteration 773, Loss: 2.301086902618408
Iteration 774, Loss: 2.367762565612793
Iteration 775, Loss: 2.298433303833008
Iteration 776, Loss: 2.3203165531158447
Iteration 777, Loss: 2.3385720252990723
Iteration 778, Loss: 2.38547945022583
Iteration 779, Loss: 2.3153867721557617
step 780: train loss 2.2913, val loss 2.2881
Iteration 780, Loss: 2.3191261291503906
Iteration 781, Loss: 2.3342103958129883
Iteration 782, Loss: 2.3140294551849365
Iteration 783, Loss: 2.426913022994995
Iteration 784, Loss: 2.3086493015289307
Iteration 785, Loss: 2.3528971672058105
Iteration 786, Loss: 2.311532497406006
Iteration 787, Loss: 2.3350472450256348
Iteration 788, Loss: 2.315476655960083
Iteration 789, Loss: 2.304356813430786
step 790: train loss 2.2750, val loss 2.2780
Iteration 790, Loss: 2.312269687652588
Iteration 791, Loss: 2.3399369716644287
Iteration 792, Loss: 2.3103201389312744
Iteration 793, Loss: 2.280385732650757
Iteration 794, Loss: 2.3174798488616943
Iteration 795, Loss: 2.310380697250366
Iteration 796, Loss: 2.3287570476531982
Iteration 797, Loss: 2.328629970550537
Iteration 798, Loss: 2.339942216873169
Iteration 799, Loss: 2.2937915325164795
step 800: train loss 2.2790, val loss 2.2751
Iteration 800, Loss: 2.3388137817382812
Iteration 801, Loss: 2.345541477203369
Iteration 802, Loss: 2.3278768062591553
Iteration 803, Loss: 2.361466884613037
Iteration 804, Loss: 2.319857120513916
Iteration 805, Loss: 2.299494743347168
Iteration 806, Loss: 2.3275203704833984
Iteration 807, Loss: 2.3595454692840576
Iteration 808, Loss: 2.3200767040252686
Iteration 809, Loss: 2.3172671794891357
step 810: train loss 2.2642, val loss 2.2645
Iteration 810, Loss: 2.3539040088653564
Iteration 811, Loss: 2.312924861907959
Iteration 812, Loss: 2.2633445262908936
Iteration 813, Loss: 2.298990249633789
Iteration 814, Loss: 2.291947841644287
Iteration 815, Loss: 2.2574591636657715
Iteration 816, Loss: 2.324824333190918
Iteration 817, Loss: 2.3415186405181885
Iteration 818, Loss: 2.3546788692474365
Iteration 819, Loss: 2.292447566986084
step 820: train loss 2.2463, val loss 2.2477
Iteration 820, Loss: 2.318366050720215
Iteration 821, Loss: 2.309690475463867
Iteration 822, Loss: 2.3277673721313477
Iteration 823, Loss: 2.2858736515045166
Iteration 824, Loss: 2.322369337081909
Iteration 825, Loss: 2.30536150932312
Iteration 826, Loss: 2.311600923538208
Iteration 827, Loss: 2.305177688598633
Iteration 828, Loss: 2.314591884613037
Iteration 829, Loss: 2.271760940551758
step 830: train loss 2.2399, val loss 2.2367
Iteration 830, Loss: 2.2876362800598145
Iteration 831, Loss: 2.301222085952759
Iteration 832, Loss: 2.327437400817871
Iteration 833, Loss: 2.2946078777313232
Iteration 834, Loss: 2.2754838466644287
Iteration 835, Loss: 2.2727952003479004
Iteration 836, Loss: 2.3509111404418945
Iteration 837, Loss: 2.24068284034729
Iteration 838, Loss: 2.2800607681274414
Iteration 839, Loss: 2.3621461391448975
step 840: train loss 2.2327, val loss 2.2347
Iteration 840, Loss: 2.2850773334503174
Iteration 841, Loss: 2.30545711517334
Iteration 842, Loss: 2.321251392364502
Iteration 843, Loss: 2.3033835887908936
Iteration 844, Loss: 2.3048601150512695
Iteration 845, Loss: 2.2763285636901855
Iteration 846, Loss: 2.299023151397705
Iteration 847, Loss: 2.2936697006225586
Iteration 848, Loss: 2.2834343910217285
Iteration 849, Loss: 2.2849812507629395
step 850: train loss 2.2180, val loss 2.2214
Iteration 850, Loss: 2.2808167934417725
Iteration 851, Loss: 2.287137746810913
Iteration 852, Loss: 2.3113327026367188
Iteration 853, Loss: 2.249908685684204
Iteration 854, Loss: 2.2657792568206787
Iteration 855, Loss: 2.315869092941284
Iteration 856, Loss: 2.254851818084717
Iteration 857, Loss: 2.2813336849212646
Iteration 858, Loss: 2.3199877738952637
Iteration 859, Loss: 2.2926647663116455
step 860: train loss 2.2044, val loss 2.2078
Iteration 860, Loss: 2.304640769958496
Iteration 861, Loss: 2.323991537094116
Iteration 862, Loss: 2.2591216564178467
Iteration 863, Loss: 2.2871744632720947
Iteration 864, Loss: 2.268035888671875
Iteration 865, Loss: 2.2668776512145996
Iteration 866, Loss: 2.3180599212646484
Iteration 867, Loss: 2.2576026916503906
Iteration 868, Loss: 2.2718310356140137
Iteration 869, Loss: 2.2870945930480957
step 870: train loss 2.1952, val loss 2.1931
Iteration 870, Loss: 2.2294321060180664
Iteration 871, Loss: 2.252673864364624
Iteration 872, Loss: 2.270752429962158
Iteration 873, Loss: 2.2272119522094727
Iteration 874, Loss: 2.274998426437378
Iteration 875, Loss: 2.265252113342285
Iteration 876, Loss: 2.2106451988220215
Iteration 877, Loss: 2.2574727535247803
Iteration 878, Loss: 2.275292158126831
Iteration 879, Loss: 2.2291486263275146
step 880: train loss 2.1889, val loss 2.1905
Iteration 880, Loss: 2.1969895362854004
Iteration 881, Loss: 2.2131826877593994
Iteration 882, Loss: 2.277015447616577
Iteration 883, Loss: 2.2542271614074707
Iteration 884, Loss: 2.327838182449341
Iteration 885, Loss: 2.259885787963867
Iteration 886, Loss: 2.213878870010376
Iteration 887, Loss: 2.242455244064331
Iteration 888, Loss: 2.2037510871887207
Iteration 889, Loss: 2.232783317565918
step 890: train loss 2.1799, val loss 2.1791
Iteration 890, Loss: 2.244600296020508
Iteration 891, Loss: 2.2995121479034424
Iteration 892, Loss: 2.2517154216766357
Iteration 893, Loss: 2.245354413986206
Iteration 894, Loss: 2.2402167320251465
Iteration 895, Loss: 2.238628387451172
Iteration 896, Loss: 2.2183847427368164
Iteration 897, Loss: 2.267409086227417
Iteration 898, Loss: 2.2552895545959473
Iteration 899, Loss: 2.1744132041931152
step 900: train loss 2.1569, val loss 2.1543
Iteration 900, Loss: 2.220919132232666
Iteration 901, Loss: 2.240054130554199
Iteration 902, Loss: 2.2416536808013916
Iteration 903, Loss: 2.1982572078704834
Iteration 904, Loss: 2.2216668128967285
Iteration 905, Loss: 2.229387044906616
Iteration 906, Loss: 2.2255895137786865
Iteration 907, Loss: 2.2311909198760986
Iteration 908, Loss: 2.1844677925109863
Iteration 909, Loss: 2.250701904296875
step 910: train loss 2.1481, val loss 2.1514
Iteration 910, Loss: 2.213618278503418
Iteration 911, Loss: 2.1972174644470215
Iteration 912, Loss: 2.247380256652832
Iteration 913, Loss: 2.258211135864258
Iteration 914, Loss: 2.219872236251831
Iteration 915, Loss: 2.190992593765259
Iteration 916, Loss: 2.1797094345092773
Iteration 917, Loss: 2.162559747695923
Iteration 918, Loss: 2.2430570125579834
Iteration 919, Loss: 2.198995590209961
step 920: train loss 2.1375, val loss 2.1293
Iteration 920, Loss: 2.249656915664673
Iteration 921, Loss: 2.2038073539733887
Iteration 922, Loss: 2.1552436351776123
Iteration 923, Loss: 2.172305107116699
Iteration 924, Loss: 2.2061610221862793
Iteration 925, Loss: 2.1818954944610596
Iteration 926, Loss: 2.1896064281463623
Iteration 927, Loss: 2.2015767097473145
Iteration 928, Loss: 2.210452079772949
Iteration 929, Loss: 2.226661443710327
step 930: train loss 2.1255, val loss 2.1274
Iteration 930, Loss: 2.19594144821167
Iteration 931, Loss: 2.2139172554016113
Iteration 932, Loss: 2.2396912574768066
Iteration 933, Loss: 2.171633720397949
Iteration 934, Loss: 2.1716361045837402
Iteration 935, Loss: 2.1912620067596436
Iteration 936, Loss: 2.18587589263916
Iteration 937, Loss: 2.2149763107299805
Iteration 938, Loss: 2.1840617656707764
Iteration 939, Loss: 2.1770706176757812
step 940: train loss 2.1175, val loss 2.1212
Iteration 940, Loss: 2.2061920166015625
Iteration 941, Loss: 2.2051374912261963
Iteration 942, Loss: 2.1946604251861572
Iteration 943, Loss: 2.18927001953125
Iteration 944, Loss: 2.222212076187134
Iteration 945, Loss: 2.1804800033569336
Iteration 946, Loss: 2.1656956672668457
Iteration 947, Loss: 2.1554129123687744
Iteration 948, Loss: 2.1759517192840576
Iteration 949, Loss: 2.2211790084838867
step 950: train loss 2.1057, val loss 2.1086
Iteration 950, Loss: 2.234215497970581
Iteration 951, Loss: 2.1914896965026855
Iteration 952, Loss: 2.189521312713623
Iteration 953, Loss: 2.2425174713134766
Iteration 954, Loss: 2.1469686031341553
Iteration 955, Loss: 2.13832688331604
Iteration 956, Loss: 2.1724610328674316
Iteration 957, Loss: 2.1249403953552246
Iteration 958, Loss: 2.189918041229248
Iteration 959, Loss: 2.1952602863311768
step 960: train loss 2.0970, val loss 2.0968
Iteration 960, Loss: 2.1327035427093506
Iteration 961, Loss: 2.1755504608154297
Iteration 962, Loss: 2.151738166809082
Iteration 963, Loss: 2.187462091445923
Iteration 964, Loss: 2.159026861190796
Iteration 965, Loss: 2.126344680786133
Iteration 966, Loss: 2.189345598220825
Iteration 967, Loss: 2.2175724506378174
Iteration 968, Loss: 2.1456212997436523
Iteration 969, Loss: 2.141977071762085
step 970: train loss 2.0833, val loss 2.0945
Iteration 970, Loss: 2.1800167560577393
Iteration 971, Loss: 2.175137758255005
Iteration 972, Loss: 2.185168743133545
Iteration 973, Loss: 2.185744285583496
Iteration 974, Loss: 2.1372883319854736
Iteration 975, Loss: 2.1685023307800293
Iteration 976, Loss: 2.1706483364105225
Iteration 977, Loss: 2.1570191383361816
Iteration 978, Loss: 2.1976125240325928
Iteration 979, Loss: 2.1246256828308105
step 980: train loss 2.0828, val loss 2.0927
Iteration 980, Loss: 2.169337034225464
Iteration 981, Loss: 2.1793789863586426
Iteration 982, Loss: 2.209381341934204
Iteration 983, Loss: 2.162933826446533
Iteration 984, Loss: 2.115936756134033
Iteration 985, Loss: 2.1797335147857666
Iteration 986, Loss: 2.1815619468688965
Iteration 987, Loss: 2.123116970062256
Iteration 988, Loss: 2.1579511165618896
Iteration 989, Loss: 2.1228296756744385
step 990: train loss 2.0689, val loss 2.0721
Iteration 990, Loss: 2.1722917556762695
Iteration 991, Loss: 2.1921465396881104
Iteration 992, Loss: 2.147045850753784
Iteration 993, Loss: 2.214601993560791
Iteration 994, Loss: 2.1342179775238037
Iteration 995, Loss: 2.1681394577026367
Iteration 996, Loss: 2.1085004806518555
Iteration 997, Loss: 2.1173057556152344
Iteration 998, Loss: 2.2016541957855225
step 999: train loss 2.0604, val loss 2.0701
Iteration 999, Loss: 2.200784683227539
